SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
72,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,31-07-2021 08:30,10
73,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,01-08-2021 08:30,8.2
74,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,07-08-2021 08:30,2
75,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,09-08-2021 08:30,5
76,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,11-08-2021 08:30,16.4
77,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,12-08-2021 08:30,7
78,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,13-08-2021 08:30,12.8
79,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,14-08-2021 08:30,8
80,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,15-08-2021 08:30,25.4
81,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,16-08-2021 08:30,14.2
82,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,17-08-2021 08:30,21
83,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,18-08-2021 08:30,5
84,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,19-08-2021 08:30,8
85,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,20-08-2021 08:30,13.6
86,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,21-08-2021 08:30,37.2
87,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,22-08-2021 08:30,4
88,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,23-08-2021 08:30,76.2
89,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,24-08-2021 08:30,18.4
90,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,25-08-2021 08:30,32.2
91,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,26-08-2021 08:30,42
92,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,27-08-2021 08:30,56.6
