SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
132,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,30-05-2021 04:00,5
133,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,31-05-2021 01:00,2
134,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,31-05-2021 16:00,2.5
135,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,31-05-2021 17:00,2
136,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,31-05-2021 20:00,0.5
137,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 11:00,4.5
138,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 12:00,3.5
139,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 13:00,0.5
140,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 14:00,1
141,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 15:00,3.5
142,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-06-2021 16:00,1
143,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 05:00,3
144,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 06:00,0.5
145,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 07:00,1
146,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 08:00,8
147,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 09:00,5.5
148,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 13:00,16
149,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-06-2021 14:00,1.5
150,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-06-2021 09:00,3.5
151,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-06-2021 14:00,9
152,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-06-2021 15:00,3.5
153,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-06-2021 16:00,8
154,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 06:00,5
155,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 08:00,14.5
156,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 09:00,14.5
157,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 12:00,18.5
158,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 13:00,4.5
159,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-06-2021 23:00,3.5
160,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 00:00,0.5
161,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 05:00,22
162,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 06:00,6.5
163,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 07:00,4.5
164,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 08:00,2
165,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 09:00,2.5
166,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 10:00,0.5
167,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 11:00,0.5
168,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-06-2021 13:00,0.5
169,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,06-06-2021 00:00,1
170,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,06-06-2021 03:00,2
171,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,06-06-2021 04:00,3.5
